source,metric,asset,lag_days,status,error_or_reason
coinmetrics,CapRealUSD,btc,1,UNAVAILABLE,not in catalog for asset
coinmetrics,CapRealUSD,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,SplyAct1yr,btc,1,UNAVAILABLE,not in catalog for asset
coinmetrics,SplyAct1yr,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,SplyActEver,btc,1,UNAVAILABLE,not in catalog for asset
coinmetrics,SplyActEver,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,TxTfrValAdjUSD,btc,1,UNAVAILABLE,not in catalog for asset
coinmetrics,TxTfrValAdjUSD,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,FeeTotUSD,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,RevUSD,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,DiffMean,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,NVTAdj90,btc,1,UNAVAILABLE,not in catalog for asset
coinmetrics,NVTAdj90,eth,1,UNAVAILABLE,not in catalog for asset
coinmetrics,VtyDayRet30d,btc,1,UNAVAILABLE,not in catalog for asset
coinmetrics,VtyDayRet30d,eth,1,UNAVAILABLE,not in catalog for asset
coingecko,share_top100_above_sma50,,1,NOT_ATTEMPTED,
coingecko,share_top100_beating_btc_30d,,1,NOT_ATTEMPTED,
